brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
18,1197.0,4,0,51000,10,1556,1,470000.0,2017,5,1
15,2993.0,1,0,59000,10,1296,1,12800000.0,2018,5,0
27,1984.0,4,1,39000,10,1029,1,3495000.0000000005,2022,7,0
20,1950.0,1,0,36000,10,685,1,4050000.0,2019,5,0
18,998.0,0,1,42000,10,1825,1,590000.0,2021,5,1
18,1462.0,4,1,23035,10,654,1,950000.0,2021,7,1
10,1197.0,4,0,51195,10,789,3,469000.00000000006,2018,5,0
18,998.0,0,1,12700,10,1825,1,540000.0,2019,5,1
2,2993.0,1,1,52000,10,62,1,4350000.0,2018,4,0
18,1462.0,4,1,22500,10,368,1,1080000.0,2022,5,0
20,1950.0,1,0,21000,10,685,1,4275000.0,2020,5,0
9,1199.0,4,0,50000,10,997,3,390000.0,2015,5,1
17,2179.0,1,0,54147,10,1959,1,811000.0,2017,7,0
17,2498.0,1,1,53517,10,1993,1,411000.00000000006,2012,7,1
30,1498.0,1,2,75000,10,207,3,640000.0,2019,5,1
9,1498.0,1,2,80000,10,1849,1,715000.0,2018,5,1
10,1591.0,4,1,99000,10,503,1,995000.0,2018,5,0
30,999.0,4,0,23845,10,1601,1,1298000.0,2023,5,0
26,999.0,4,1,3900,10,1059,1,395000.0,2019,5,0
14,2199.0,1,1,49000,10,312,1,3150000.0,2021,7,0
9,1199.0,4,1,28000,10,1851,1,715000.0,2017,5,1
21,1451.0,4,1,33000,10,836,1,1275000.0,2019,5,0
18,1197.0,4,3,50457,10,238,1,505000.0,2018,5,0
10,1591.0,4,0,37926,10,515,1,949000.0,2017,5,0
29,2755.0,1,0,45000,10,960,1,1850000.0,2016,7,0
26,999.0,4,0,14777,10,1681,3,570000.0,2021,7,0
10,1197.0,4,1,22660,10,784,1,475000.0,2019,5,1
18,1462.0,4,3,33827,10,347,1,739000.0,2021,5,0
27,1968.0,1,1,84000,10,1182,3,699000.0,2016,5,0
15,2993.0,1,1,55752,10,1293,3,2199000.0,2013,5,0
27,1498.0,4,0,14000,10,1479,1,1650000.0,2024,5,0
18,998.0,4,0,1500,10,1833,1,700000.0,2024,5,1
28,1199.0,4,0,15000,10,1162,1,1145000.0,2022,5,1
18,998.0,0,1,94469,10,1825,1,430000.0,2019,5,1
10,1591.0,4,0,45000,10,520,1,945000.0,2019,5,1
2,1995.0,1,1,71300,10,25,3,2000000.0,2016,5,0
31,1969.0,1,1,48000,10,1896,1,4595000.0,2016,7,0
29,1496.0,4,0,35000,10,1997,1,745000.0,2018,5,0
29,2494.0,1,0,92000,10,966,1,875000.0,2015,7,1
10,1197.0,4,1,30300,10,1917,3,425000.0,2015,5,1
20,2143.0,1,1,29000,10,424,1,2100000.0,2019,5,0
2,1995.0,1,0,10000,10,1861,1,3845000.000000001,2022,5,0
9,1497.0,4,1,62188,10,385,1,525000.0,2015,5,1
10,1197.0,4,0,38148,10,782,3,381000.0,2017,5,1
29,1197.0,4,3,15541,10,751,1,790000.0,2022,5,1
9,1497.0,4,3,40000,10,392,1,695000.0,2017,5,0
26,999.0,4,0,14438,10,1679,1,649000.0,2020,7,1
10,1197.0,4,1,39542,10,774,3,392000.0,2016,5,0
9,1199.0,4,1,47000,10,1004,1,699000.0,2019,5,0
14,1493.0,1,1,50154,10,1487,1,1250000.0,2021,5,0
29,2494.0,1,0,90000,10,988,1,925000.0,2014,7,1
30,1598.0,4,2,78039,10,1714,3,395000.0,2014,5,1
2,2993.0,1,0,29500,10,1891,1,10400000.0,2023,7,0
18,1373.0,4,2,82150,10,660,3,525000.0,2012,7,1
21,1451.0,4,3,48019,10,838,1,1218000.0,2020,5,0
10,998.0,4,0,12000,10,1745,1,1025000.0,2022,5,1
2,1995.0,1,0,75000,10,54,1,3525000.0,2019,5,0
28,1199.0,4,1,69105,10,1654,1,450000.0,2019,5,0
14,1493.0,1,1,35000,10,1457,1,1750000.0,2021,5,0
28,1997.0,2,0,16000,10,1162,1,1025000.0,2022,5,0
17,1997.0,1,0,84962,10,1958,1,872000.0000000001,2017,7,0
0,1781.0,4,1,43000,10,99,1,775000.0,2011,5,0
9,1497.0,4,1,32419,10,392,3,630000.0,2018,5,0
24,999.0,4,0,22065,10,1103,1,526000.0,2021,5,1
10,1197.0,0,3,57014,10,799,1,641000.0,2022,5,1
8,1499.0,4,2,63500,10,605,1,491000.0,2014,5,0
9,1497.0,4,0,54000,10,383,1,475000.0,2014,5,1
30,1968.0,1,1,57000,10,1671,3,2100000.0,2018,5,0
26,999.0,4,0,33140,10,1067,3,304000.0,2021,5,1
27,1598.0,4,0,47300,10,1309,1,495000.0,2016,5,0
18,1197.0,4,0,63000,10,1843,1,521000.0,2020,5,1
20,2987.0,1,0,104000,10,1128,1,1995000.0,2015,5,0
20,1991.0,4,0,72100,10,276,1,1999000.0,2016,5,0
10,1591.0,4,0,46000,10,520,1,899000.0,2018,5,1
17,2179.0,1,0,87000,10,1962,1,821000.0000000001,2016,7,1
9,2354.0,4,0,78343,10,480,1,990000.0,2018,5,0
9,1497.0,4,3,46500,10,382,1,625000.0,2015,5,0
30,999.0,4,0,24000,10,1599,3,1275000.0,2022,5,0
17,2179.0,1,0,58000,10,1962,3,825000.0,2016,7,1
14,1497.0,4,0,4800,10,1472,1,1625000.0,2023,5,0
29,1798.0,4,0,39600,10,472,1,1025000.0,2017,5,0
8,1499.0,4,0,54391,10,606,1,501000.0,2021,5,1
14,998.0,4,3,18368,10,1496,1,995000.0,2023,5,0
14,1493.0,1,1,29384,10,1486,1,1085000.0,2020,5,1
10,1197.0,4,1,50554,10,774,1,479000.0,2016,5,0
14,1493.0,1,0,45001,10,303,1,1750000.0,2022,6,0
10,1999.0,4,0,56751,10,621,1,975000.0,2017,5,0
9,1497.0,4,0,69000,10,393,1,850000.0,2018,5,0
17,2179.0,1,1,65308,10,1963,1,949000.0,2017,7,1
22,1998.0,1,1,53000,10,527,1,1575000.0,2013,5,0
18,1248.0,1,0,65000,10,360,1,625000.0,2016,5,1
10,1591.0,4,0,35000,10,503,1,1190000.0,2020,5,0
18,1197.0,4,1,29000,10,241,3,475000.0,2016,5,1
18,998.0,4,1,45000,10,1823,1,335000.0,2016,5,0
20,2143.0,1,1,50000,10,9,3,800000.0,2012,5,0
27,1498.0,4,1,16000,10,1043,1,1645000.0,2022,5,0
20,2987.0,1,1,87000,10,1128,1,2300000.0,2015,5,0
15,2179.0,1,0,55000,10,738,3,1275000.0,2012,5,0
10,1591.0,4,1,67500,10,499,3,849000.0,2019,5,1
18,1197.0,4,0,76435,10,238,1,495000.0,2017,5,0
18,998.0,4,0,44000,10,338,1,491000.0,2018,5,0
18,1373.0,4,1,48000,10,352,1,650000.0,2016,5,0
18,998.0,4,0,33581,10,329,3,344000.0,2016,5,0
18,1248.0,1,0,35000,10,1806,3,649000.0,2017,5,1
0,1395.0,4,0,48813,10,84,1,2150000.0,2017,5,0
10,1197.0,4,0,41159,10,876,3,550000.0,2016,5,1
18,1197.0,4,1,30600,10,239,1,534000.0,2017,5,1
10,1197.0,4,1,59179,10,876,3,345000.0,2014,5,1
14,998.0,4,0,17000,10,1500,1,1075000.0,2021,5,0
26,999.0,4,1,72768,10,1677,1,527000.0,2021,7,1
