city,model,price,insurance,fuel_type,seats,kms_driven,transmission,year_of_manufacture,engine,power,mileage,ownership
Chennai,Micra XL,295000.0,Comprehensive,Petrol,5,61980,Manual,2013.0,1198,75.0,18.44,First Owner
Chennai,Astor Savvy CVT BSVI,1626000.0000000002,Expired,Petrol,5,20000,Automatic,2021.0,1498,108.49,14.82,First Owner
Chennai,Swift Dzire ZXI,500000.0,Expired,Petrol,5,60000,Manual,2016.0,1197,83.14,20.85,First Owner
Chennai,Innova Crysta 2.4 GX 8 STR AT,2000000.0,Expired,Diesel,8,60000,Automatic,2020.0,2393,148.0,19.12,First Owner
Chennai,Nexon XZ Plus (O) BSVI,775000.0,Expired,Petrol,5,50000,Manual,2020.0,1199,118.36,17.57,Second Owner
Chennai,Swift VXI,480000.0,Comprehensive,Petrol,5,60000,Manual,2015.0,1197,81.8,21.21,First Owner
Chennai,Sunny XL,250000.0,Expired,Petrol,5,160000,Manual,2016.0,1498,97.6,16.95,First Owner
Chennai,Compass 2.0 Sport Diesel BSVI,1325000.0,Expired,Diesel,5,40000,Manual,2021.0,1956,167.67,17.1,First Owner
Chennai,Celerio X ZXI Option BSIV,407000.0,Expired,Petrol,5,44876,Manual,2018.0,998,67.0,21.63,First Owner
Chennai,Swift Dzire VXI 1.2,519000.00000000006,Comprehensive,Petrol,5,75166,Manual,2017.0,1197,81.8,21.21,First Owner
